Word,Count,Percentage
ir,373,2.0993977598919344
kad,241,1.356447346203636
tai,234,1.3170484606292565
bet,150,0.8442618337367029
xd,148,0.8330050092868801
kaip,146,0.8217481848370574
yra,136,0.765464062587944
ne,121,0.6810378792142736
su,117,0.6585242303146283
cia,102,0.5740980469409579
ar,97,0.5459559858164013
bmw,97,0.5459559858164013
Äia,88,0.49530027579219904
dar,88,0.49530027579219904
kas,85,0.478415039117465
jau,85,0.478415039117465
tik,82,0.46152980244273095
buvo,80,0.45027297799290816
jis,76,0.42775932909326275
nu,75,0.42213091686835147
